rank,symbol,sector,grade,score,last_close,rsi,distance_from_high_pct,volume_ratio,ema_aligned,trend_pct
81,BEL,Capital Goods,F,30.1,437.54998779296875,48.4,5.78,0.62,Y,-2.48
82,BIOCON,Healthcare,F,29.5,362.25,50.6,4.41,0.38,N,1.24
83,360ONE,Financial Services,F,28.1,1046.800048828125,52.5,6.99,0.44,N,-0.19
84,APOLLOTYRE,Automobile and Auto Components,F,26.9,424.1499938964844,44.6,5.59,1.71,N,-2.27
85,AJANTPHARM,Healthcare,F,26.3,2804.199951171875,48.2,4.42,0.55,N,0.9
86,ANANTRAJ,Realty,F,24.2,490.8999938964844,50.6,6.68,0.42,N,-5.3
87,BATAINDIA,Consumer Durables,F,24.1,724.5499877929688,49.5,6.99,0.59,N,-6.43
88,FIRSTCRY,Consumer Services,F,23.2,241.11000061035156,50.1,10.58,0.13,N,-4.73
89,MAPMYINDIA,Information Technology,F,19.7,929.1500244140625,47.6,5.13,0.51,N,-3.73
90,BSOFT,Information Technology,F,19.2,369.3999938964844,47.5,7.62,0.48,N,-4.76
91,ABBOTINDIA,Healthcare,F,17.1,25475.0,43.0,4.07,0.52,N,0.22
92,BALKRISIND,Automobile and Auto Components,F,15.6,2199.89990234375,45.5,6.98,0.87,N,-4.75
93,ASTRAL,Capital Goods,F,13.7,1552.800048828125,44.8,6.54,0.83,N,-2.32
94,ALKEM,Healthcare,F,13.5,5344.0,46.2,6.82,0.71,N,-5.03
95,BAYERCROP,Chemicals,F,11.8,4683.89990234375,47.9,7.49,0.48,N,-2.17
96,BANKINDIA,Financial Services,F,9.7,143.2100067138672,42.7,7.21,0.78,N,-6.35
97,BAJAJFINSV,Financial Services,F,7.9,1764.199951171875,45.3,5.15,0.48,N,-4.27
98,APLAPOLLO,Capital Goods,F,6.8,1966.5999755859375,43.9,9.5,0.54,N,-7.32
99,ASHOKLEY,Capital Goods,F,4.9,165.72999572753906,42.7,8.63,0.54,N,-7.4
100,BANKBARODA,Financial Services,F,3.3,268.25,42.2,6.29,0.5,N,-5.13
